asset_id,store_id,asset_type,make,model,system_version,serial_number,install_date,last_service_date,warranty_expiry
KSK-0011-01,SW-0011,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.1,KS455007,2023-10-01,2023-12-21,2027-02-12
POS-0012-T1,SW-0012,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT757246,2022-02-17,2023-06-12,2025-02-17
RTR-0012-01,SW-0012,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL896290,2023-09-27,2023-10-05,2025-02-06
PRN-0012-P1,SW-0012,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP761820,2023-11-02,2023-05-28,2026-04-11
POS-0013-T1,SW-0013,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT565230,2023-12-12,2023-02-21,2026-12-12
POS-0013-T2,SW-0013,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.3,FT130353,2023-11-22,2023-06-03,2026-11-22
RTR-0013-01,SW-0013,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL440131,2021-04-25,2023-05-31,2026-01-03
PRN-0013-P1,SW-0013,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP356059,2022-12-23,2023-07-30,2026-01-04
POS-0014-T1,SW-0014,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT621841,2023-10-31,2023-05-04,2026-10-31
RTR-0014-01,SW-0014,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL250069,2022-04-21,2023-08-25,2026-10-16
PRN-0014-P1,SW-0014,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP799233,2020-01-20,2023-08-27,2026-08-13
SSM-0014-01,SW-0014,Soft Serve Machine,CreamTech SC-500,CreamTech SC-500,CreamTech SC-500 v2.4,CT177449,2023-06-24,2023-06-26,2026-08-25
KSK-0014-01,SW-0014,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.1,KS769975,2023-03-11,2023-12-20,2026-09-14
POS-0015-T1,SW-0015,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT499889,2020-08-06,2023-05-02,2023-08-06
RTR-0015-01,SW-0015,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL476395,2022-08-29,2023-12-25,2025-10-30
PRN-0015-P1,SW-0015,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP387813,2020-01-17,2023-10-17,2025-04-11
PRN-0015-P2,SW-0015,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP973294,2021-08-09,2023-04-28,2026-12-23
POS-0016-T1,SW-0016,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT757937,2023-07-10,2023-02-19,2026-07-10
RTR-0016-01,SW-0016,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL141337,2022-09-25,2023-08-14,2025-02-04
PRN-0016-P1,SW-0016,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP194511,2021-08-27,2023-06-17,2027-05-01
SSM-0016-01,SW-0016,Soft Serve Machine,CreamTech SC-500,CreamTech SC-500,CreamTech SC-500 v2.4,CT310548,2021-09-28,2023-10-04,2026-01-10
POS-0017-T1,SW-0017,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.0,FT882824,2022-09-13,2023-06-01,2025-09-13
RTR-0017-01,SW-0017,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL943298,2021-08-24,2023-08-28,2025-03-19
PRN-0017-P1,SW-0017,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP809176,2023-10-13,2023-07-23,2027-01-20
PRN-0017-P2,SW-0017,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP929090,2022-03-19,2023-01-08,2026-06-26
POS-0018-T1,SW-0018,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT962367,2023-04-12,2023-07-15,2026-04-12
RTR-0018-01,SW-0018,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL489518,2021-08-10,2023-12-12,2025-08-28
PRN-0018-P1,SW-0018,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP739717,2021-03-29,2023-11-28,2025-05-10
POS-0019-T1,SW-0019,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT246566,2022-04-16,2023-03-01,2025-04-16
RTR-0019-01,SW-0019,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL139019,2022-09-16,2023-09-10,2025-04-29
PRN-0019-P1,SW-0019,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP507524,2022-07-18,2023-07-09,2027-05-09
PRN-0019-P2,SW-0019,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP535037,2023-09-03,2023-02-20,2027-09-30
POS-0020-T1,SW-0020,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT566297,2021-03-20,2023-08-16,2024-03-20
RTR-0020-01,SW-0020,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL997004,2023-01-13,2023-02-20,2026-12-04
PRN-0020-P1,SW-0020,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP163491,2022-03-26,2023-05-22,2026-01-24
POS-0021-T1,SW-0021,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT772875,2023-09-19,2023-04-19,2026-09-19
RTR-0021-01,SW-0021,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL726152,2021-02-13,2023-01-26,2025-12-08
PRN-0021-P1,SW-0021,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP925206,2023-03-02,2023-04-16,2025-05-21
PRN-0021-P2,SW-0021,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP714867,2021-03-18,2023-04-30,2026-11-04
POS-0022-T1,SW-0022,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT666456,2020-10-23,2023-03-08,2023-10-23
RTR-0022-01,SW-0022,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL937302,2021-12-24,2023-02-26,2026-11-08
PRN-0022-P1,SW-0022,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP115582,2022-01-03,2023-05-02,2026-10-26
POS-0023-T1,SW-0023,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT881886,2022-12-13,2023-02-28,2025-12-13
POS-0023-T2,SW-0023,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.1,FT915809,2022-09-02,2023-08-18,2025-09-02
RTR-0023-01,SW-0023,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL638169,2021-08-12,2023-08-20,2026-05-31
PRN-0023-P1,SW-0023,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP862569,2023-09-11,2023-09-24,2026-09-10
PRN-0023-P2,SW-0023,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP774591,2020-03-04,2023-02-01,2027-09-08
SSM-0023-01,SW-0023,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v2.0,CT546980,2021-08-10,2023-09-09,2026-12-31
POS-0024-T1,SW-0024,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT232321,2020-10-30,2023-02-03,2023-10-30
POS-0024-T2,SW-0024,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.3,FT713799,2023-07-02,2023-11-21,2026-07-02
RTR-0024-01,SW-0024,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL846746,2022-10-28,2023-07-15,2026-09-04
PRN-0024-P1,SW-0024,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP630108,2023-05-24,2023-08-09,2025-07-23
KSK-0024-01,SW-0024,Self-Order Kiosk,TouchPoint K1,TouchPoint K1,TouchPoint K1 v1.1,KS219971,2023-11-02,2023-11-30,2027-07-19
POS-0025-T1,SW-0025,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT967611,2022-04-27,2023-06-23,2025-04-27
RTR-0025-01,SW-0025,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL518098,2023-05-02,2023-02-18,2025-11-17
PRN-0025-P1,SW-0025,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP492483,2020-11-08,2023-12-18,2027-08-30
KSK-0025-01,SW-0025,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.0,KS195656,2022-03-29,2023-02-17,2027-03-19
POS-0026-T1,SW-0026,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT688866,2020-05-02,2023-10-28,2023-05-02
RTR-0026-01,SW-0026,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL445658,2021-09-08,2023-07-30,2025-12-29
PRN-0026-P1,SW-0026,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP856086,2020-04-15,2023-05-28,2026-10-02
SSM-0026-01,SW-0026,Soft Serve Machine,FrostyPro 800,FrostyPro 800,FrostyPro 800 v1.8,CT208633,2023-11-06,2023-04-19,2025-06-08
POS-0027-T1,SW-0027,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT899649,2022-01-22,2023-02-28,2025-01-22
POS-0027-T2,SW-0027,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.0,FT946432,2023-03-21,2023-04-26,2026-03-21
RTR-0027-01,SW-0027,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL986209,2021-02-23,2023-11-08,2026-11-05
PRN-0027-P1,SW-0027,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP130359,2021-01-04,2023-05-20,2026-09-25
KSK-0027-01,SW-0027,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.1,KS468074,2022-01-07,2023-04-03,2026-05-27
POS-0028-T1,SW-0028,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT325583,2020-07-06,2023-09-29,2023-07-06
POS-0028-T2,SW-0028,POS Terminal,OrbitPOS,OrbitPOS Terminal 2,OrbitPOS v2.0,FT457455,2022-05-09,2023-08-21,2025-05-09
RTR-0028-01,SW-0028,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL488028,2022-10-01,2023-06-16,2026-08-05
PRN-0028-P1,SW-0028,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP263137,2020-11-18,2023-11-13,2025-04-12
POS-0029-T1,SW-0029,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.0,FT534303,2023-05-28,2023-08-15,2026-05-28
RTR-0029-01,SW-0029,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL326040,2023-11-16,2023-02-28,2025-12-20
PRN-0029-P1,SW-0029,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP811163,2023-10-21,2023-10-31,2027-09-24
POS-0030-T1,SW-0030,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT314353,2020-04-22,2023-01-04,2023-04-22
RTR-0030-01,SW-0030,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL321494,2021-10-09,2023-05-11,2025-10-24
PRN-0030-P1,SW-0030,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP621546,2022-05-31,2023-03-31,2025-09-22
POS-0031-T1,SW-0031,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT878086,2020-05-27,2023-07-23,2023-05-27
RTR-0031-01,SW-0031,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL557409,2021-02-08,2023-08-24,2025-03-21
PRN-0031-P1,SW-0031,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP701253,2022-04-08,2023-12-30,2027-05-06
POS-0032-T1,SW-0032,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT972442,2023-06-19,2023-08-24,2026-06-19
RTR-0032-01,SW-0032,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL479430,2021-06-30,2023-08-12,2025-04-19
PRN-0032-P1,SW-0032,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP649414,2020-06-10,2023-07-22,2026-09-28
PRN-0032-P2,SW-0032,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP332335,2021-11-13,2023-03-28,2025-06-06
SSM-0032-01,SW-0032,Soft Serve Machine,CreamTech SC-300,CreamTech SC-300,CreamTech SC-300 v3.1,CT656379,2023-11-11,2023-04-10,2025-12-24
POS-0033-T1,SW-0033,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.2,FT253557,2021-04-28,2023-02-22,2024-04-28
RTR-0033-01,SW-0033,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL306854,2021-12-22,2023-11-05,2025-06-06
PRN-0033-P1,SW-0033,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP285751,2023-07-10,2023-09-10,2027-08-09
POS-0034-T1,SW-0034,POS Terminal,OrbitPOS,OrbitPOS Terminal 1,OrbitPOS v2.1,FT754858,2023-08-09,2023-11-22,2026-08-09
RTR-0034-01,SW-0034,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL757685,2022-10-10,2023-03-19,2026-03-27
PRN-0034-P1,SW-0034,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP762055,2021-09-12,2023-05-21,2025-04-26
PRN-0034-P2,SW-0034,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP631981,2020-05-31,2023-06-08,2027-08-04
POS-0035-T1,SW-0035,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT744883,2023-08-13,2023-02-16,2026-08-13
RTR-0035-01,SW-0035,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL631699,2023-02-27,2023-08-25,2026-08-18
PRN-0035-P1,SW-0035,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP571579,2023-03-16,2023-11-30,2026-01-21
KSK-0035-01,SW-0035,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.1,KS734394,2023-05-03,2023-09-14,2026-06-04
POS-0036-T1,SW-0036,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT777513,2020-06-21,2023-09-16,2023-06-21
RTR-0036-01,SW-0036,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL141043,2022-05-23,2023-12-29,2026-03-25
PRN-0036-P1,SW-0036,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP481574,2022-02-02,2023-05-25,2027-03-05
POS-0037-T1,SW-0037,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT169113,2023-08-18,2023-06-21,2026-08-18
RTR-0037-01,SW-0037,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL199096,2023-03-03,2023-05-26,2025-09-16
PRN-0037-P1,SW-0037,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP449555,2020-06-15,2023-10-26,2025-10-17
POS-0038-T1,SW-0038,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT723945,2022-03-13,2023-03-08,2025-03-13
RTR-0038-01,SW-0038,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL188834,2022-09-27,2023-10-14,2026-01-21
PRN-0038-P1,SW-0038,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP952686,2020-09-18,2023-12-10,2027-12-15
POS-0039-T1,SW-0039,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT289019,2022-01-12,2023-06-08,2025-01-12
RTR-0039-01,SW-0039,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL458332,2023-09-23,2023-04-09,2025-08-20
PRN-0039-P1,SW-0039,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP180913,2021-08-28,2023-02-21,2027-11-06
SSM-0039-01,SW-0039,Soft Serve Machine,CreamTech SC-300,CreamTech SC-300,CreamTech SC-300 v3.1,CT794083,2022-11-21,2023-11-13,2025-05-15
POS-0040-T1,SW-0040,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v5.1.1,FT856215,2023-07-03,2023-03-26,2026-07-03
POS-0040-T2,SW-0040,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v5.1.0,FT481995,2020-03-30,2023-07-30,2023-03-30
RTR-0040-01,SW-0040,Network Router,Cisco SG350,Cisco SG350,Cisco SG350 15.2.1,NL854540,2022-05-02,2023-08-16,2026-09-18
PRN-0040-P1,SW-0040,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP345369,2022-12-29,2023-05-03,2026-09-26
KSK-0040-01,SW-0040,Self-Order Kiosk,ServeWell Kiosk,ServeWell Kiosk,ServeWell Kiosk v2.1,KS975679,2022-07-18,2023-07-08,2027-11-26
POS-0041-T1,SW-0041,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.3,FT653081,2022-02-21,2023-09-15,2025-02-21
RTR-0041-01,SW-0041,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.2,NL269930,2022-02-13,2023-11-06,2025-05-22
PRN-0041-P1,SW-0041,Receipt Printer,EpsonTM-T88VI,EpsonTM-T88VI,EpsonTM-T88VI v1.12,EP772324,2022-09-11,2023-07-10,2025-07-30
POS-0042-T1,SW-0042,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT571145,2020-11-24,2023-05-20,2023-11-24
POS-0042-T2,SW-0042,POS Terminal,OrbitPOS,OrbitPOS Terminal 2,OrbitPOS v2.1,FT196168,2020-10-28,2023-08-12,2023-10-28
RTR-0042-01,SW-0042,Network Router,NetLink NL-3000,NetLink NL-3000,NetLink NL-3000 v2.1,NL956375,2023-07-13,2023-06-28,2025-01-28
PRN-0042-P1,SW-0042,Receipt Printer,StarMC Print v2,StarMC Print v2,StarMC Print v2 v3.0,EP626392,2022-02-04,2023-05-01,2027-03-02
POS-0043-T1,SW-0043,POS Terminal,FoodTech POS,FoodTech POS Terminal 1,FoodTech POS v4.2.1,FT929822,2023-08-24,2023-06-21,2026-08-24
POS-0043-T2,SW-0043,POS Terminal,FoodTech POS,FoodTech POS Terminal 2,FoodTech POS v4.2.2,FT400814,2020-10-08,2023-01-20,2023-10-08
